,Ticker,Net Income,EPS,Dividends,Payout Ratio,Shares,Book Value/Share,Current Ratio,Quick Ratio,Free Cashflow/Share,Revenue,Gross Margin,Operating Margin,EBT Margin,Net Margin,Return on Assets,Return on Equity,Return on Invested Capital,Interest Coverage,EPS Year on Year,Total Assets,Debt/Equity,5-Year Net Income %,Company Name,Dividend Cover,Dividend Cover
115,XLON:SPD,25.0,0.04,0,0,531.0,2.26,2.09,0.69,0,100.0,39.74,5.58,2.31,0.73,0.92,2.0,1.76,4.34,0,100.0,0.62,-30.55,Sports Direct Intl Plc,0,0
116,XLON:SSPG,101.0,0.22,0.08,38.7,470.0,0.86,0.65,0.57,0,100.0,44.98,6.98,6.45,4.08,7.22,27.69,13.0,16.71,0,100.0,1.04,0,SSP Group plc,0.0020671834625322996,0.0020671834625322996
117,XLON:SMP,54.0,0.23,0.06,26.7,233.0,4.55,2.01,0.38,0,100.0,0,-509.94,128.43,106.56,3.2,5.4,4.58,4.05,0,100.0,0.27,6.9,St Modwen Properties plc,0.002247191011235955,0.002247191011235955
118,XLON:SGC,71.0,0.12,0.11,97.5,576.0,0.35,0.63,0.22,0,100.0,48.08,3.52,2.95,2.18,3.38,50.54,11.57,3.88,0,100.0,3.02,-14.99,Stagecoach Group plc,0.0011282051282051281,0.0011282051282051281
119,XLON:STOB,100.0,0.28,0.17,58.9,357.0,1.15,1.57,1.02,0,100.0,27.02,-8.15,41.58,41.33,15.15,25.21,19.8,33.32,0,100.0,0.16,41.68,Stobart Group Ltd,0.0028862478777589135,0.0028862478777589135
120,XLON:SYNT,102.0,0.29,0.12,41.0,342.0,1.35,1.42,1.07,0,100.0,0,7.45,7.72,6.59,7.85,25.46,14.78,15.36,0,100.0,0.63,5.51,Synthomer plc,0.002926829268292683,0.002926829268292683
121,XLON:TALK,-79.0,-0.08,0.07,0,987.0,0.18,0.77,0.64,0,100.0,52.46,-0.41,-4.27,-4.63,-5.09,-44.89,-6.43,-1.03,0,100.0,3.41,0,Talktalk Telecom Group Plc,0,0
122,XLON:TATE,265.0,0.56,0.28,50.3,470.0,2.93,2.31,1.2,0,100.0,40.3,10.7,10.55,9.78,9.92,19.64,14.83,9.67,0,100.0,0.4,-0.88,Tate & Lyle plc,0.005566600397614315,0.005566600397614315
123,XLON:TBCG,379.0,7.01,1.63,23.3,54.0,10.55,0,0,0,100.0,0,0,100.0,41.06,3.05,21.06,0,0,24.5,100.0,1.81,0,TBC Bank Group Plc,0.06995708154506437,0.06995708154506437
124,XLON:TED,53.0,1.18,0.55,46.8,45.0,5.03,1.52,0.45,0,100.0,60.98,12.74,11.63,8.91,12.08,24.27,16.25,21.84,0,100.0,0.21,19.55,Ted Baker,0.011752136752136754,0.011752136752136754
125,XLON:TEP,30.0,0.39,0.49,126.9,79.0,2.9,1.16,1.09,0,100.0,17.61,5.29,5.17,3.85,7.28,12.58,11.89,42.12,0,100.0,0.17,2.41,Telecom Plus plc,0.0038613081166272655,0.0038613081166272655
126,XLON:TCG,26.0,0.02,0.01,37.5,1537.0,0.02,0.43,0.38,0,100.0,10.06,2.49,0.62,0.28,0.43,29.89,8.4,1.43,0,100.0,33.43,0,Thomas Cook Group plc,0.0002666666666666667,0.0002666666666666667
127,XLON:TCAP,43.0,0.07,0.17,218.8,561.0,3.18,1.01,1.01,0,100.0,0,13.32,100.0,2.47,0.09,2.35,2.69,1.97,0,100.0,0.28,0,TP ICAP plc,0.0007769652650822669,0.0007769652650822669
128,XLON:TPK,233.0,0.92,0.45,49.0,253.0,11.3,1.43,0.9,0,100.0,29.62,4.62,4.5,3.62,4.62,8.47,7.53,11.89,0,100.0,0.21,-2.16,Travis Perkins plc,0.009183673469387756,0.009183673469387756
129,XLON:TLW,212.0,0.17,0,0,1412.0,1.41,1.49,0.58,0,0,0,0,0,0,2.04,8.05,4.51,2.3,0,100.0,1.35,0,Tullow Oil plc,0,0
130,XLON:UBM,146.0,0.36,0.22,63.5,397.0,0,0.53,0.44,0,100.0,0,92.78,19.11,14.56,5.74,12.13,9.08,8.05,0,100.0,0.48,0,UBM Plc,0.0034645669291338585,0.0034645669291338585
131,XLON:UDG,42.0,0.17,0.13,79.2,250.0,2.69,1.99,1.81,0,100.0,28.28,9.07,4.08,3.18,2.82,4.94,4.33,6.63,0,100.0,0.28,3.25,UDG Healthcare plc,0.0016414141414141414,0.0016414141414141414
132,XLON:ULE,38.0,0.48,0.49,102.1,77.0,6.09,1.67,1.18,0,100.0,29.05,11.49,6.54,4.95,3.56,9.27,4.59,6.91,0,100.0,0.54,-5.0,Ultra Electronics Holdings,0.0047992164544564155,0.0047992164544564155
133,XLON:UTG,277.0,1.1,0.23,20.5,252.0,7.58,0.92,0.82,0,100.0,67.71,47.5,231.88,223.11,11.49,15.42,12.87,21.72,0,100.0,0.23,12.03,Unite Group,0.011219512195121953,0.011219512195121953
134,XLON:VEC,-71.0,-0.1,0,0,679.0,0.82,2.57,2.13,0,100.0,62.37,-46.21,-58.75,-47.62,-9.7,-11.88,-12.11,80.64,0,100.0,0,0,Vectura Group,0,0
135,XLON:VED,235.0,0.82,0.59,71.7,282.0,-0.95,0.79,0.6,0,100.0,22.26,18.32,16.16,1.53,0.78,0,0,3.14,0,100.0,0,8.4,Vedanta Resources Plc,0.008228730822873082,0.008228730822873082
136,XLON:VSVS,62.0,0.23,0.18,80.0,271.0,3.84,2.25,1.61,0,100.0,27.94,9.11,7.09,3.52,2.91,5.86,4.8,9.33,0,100.0,0.43,-42.3,Vesuvius plc,0.00225,0.00225
137,XLON:VCT,115.0,1.34,0.54,40.1,86.0,5.16,4.45,2.29,0,100.0,63.73,38.05,38.11,35.38,22.75,26.71,26.67,415.0,0,100.0,0,6.71,Victrex,0.013466334164588529,0.013466334164588529
138,XLON:VM.,195.0,0.38,0.06,15.8,446.0,4.17,0,0,0,100.0,0,0,100.0,26.72,0.41,9.46,0,0,0,100.0,1.58,-3.39,Virgin Money Holdings (UK) plc,0.0037974683544303796,0.0037974683544303796
139,XLON:WEIR,182.0,0.81,0.44,61.0,226.0,7.21,1.66,0.87,0,100.0,31.6,10.57,7.83,7.3,4.84,11.41,7.58,6.7,0,100.0,0.32,-12.51,Weir Group plc,0.007213114754098361,0.007213114754098361
140,XLON:SMWH,114.0,1.02,0.48,46.8,111.0,1.85,0.92,0.35,0,0,0,0,0,0,23.31,60.96,47.88,70.5,0,100.0,0.03,6.67,WH Smith Plc,0.010256410256410256,0.010256410256410256
141,XLON:WMH,-964.0,-1.12,0.13,0,864.0,0.28,1.33,1.33,0,100.0,74.72,14.68,-56.9,-55.56,-49.09,-130.61,-65.95,-657.2,0,100.0,3.02,0,William Hill plc,0,0
142,XLON:WIZZ,275.0,2.18,0,0,127.0,10.77,1.87,1.78,0,100.0,21.08,14.98,14.69,14.12,14.33,25.07,24.54,58.22,-29.84,100.0,0.03,56.55,Wizz Air Holdings plc,0,0
143,XLON:WG.,-89.0,-0.16,0.11,0,588.0,5.47,1.08,1.01,0,100.0,11.69,2.54,-0.72,-1.07,-1.08,-2.55,-0.56,0.25,0,100.0,0.43,0,Wood Group (John) Plc,0,0
144,XLON:WKP,171.0,1.04,0.23,22.2,165.0,9.49,0.54,0.23,0,100.0,74.17,62.14,132.2,132.97,8.09,10.42,9.23,10.41,906.67,100.0,0.32,17.54,Workspace Group Plc,0.01036036036036036,0.01036036036036036
145,XLON:ZPG,43.0,8.61,0.06,0.7,448.0,0,0.82,0.54,0,100.0,0,22.96,19.42,15.12,6.58,18.53,9.95,6.51,0,100.0,1.4,0,ZPG plc,0.08571428571428572,0.08571428571428572
146,III,1.0,0.02,0,0,45.0,1.57,2.16,2.07,0,100.0,42.22,4.87,2.37,0.47,0.59,2.0,3.47,1.95,-600.0,100.0,1.31,0,3i Group Plc,0,0
147,ADM,1939.0,3.42,1.31,38.3,567.0,33.43,1.59,0.39,0,100.0,6.0,2.81,2.97,3.05,5.06,10.74,8.58,6.49,108.33,100.0,0.32,4.94,Admiral Group,0.03420365535248042,0.03420365535248042
148,AAL,1468.0,3.09,0.4,12.9,476.0,-1.89,0.55,0.4,0,100.0,24.18,8.76,5.1,3.4,2.77,103.16,8.14,3.07,-25.15,100.0,0,0,Anglo American,0.031007751937984496,0.031007751937984496
149,ANTO,654.0,0.67,0.1,15.2,986.0,5.52,2.57,1.91,0,100.0,46.45,34.02,33.34,13.57,4.8,9.3,7.27,18.5,0,100.0,0.26,-6.17,Antofagasta Holdings,0.006578947368421053,0.006578947368421053
150,AHT,-96.0,-1.59,0.48,0,96.0,5.19,3.24,2.5,0,100.0,31.95,8.86,-8.7,-10.61,-3.15,-24.04,1.55,0.45,0,100.0,7.72,0,Ashtead Group plc,0,0
151,XLON:ABF,1043.0,1.32,0.41,31.0,790.0,11.08,1.75,0.83,0,100.0,0,8.05,8.47,6.74,8.36,12.58,11.84,9.36,0,100.0,0.07,16.64,Associated British Foods plc,0.013225806451612903,0.013225806451612903
152,AZN,2677.0,1.05,1.4,132.7,2535.0,4.99,0.72,0.53,0,100.0,79.32,7.47,8.68,11.98,4.23,20.36,9.22,3.98,-28.95,100.0,1.22,-13.78,AstraZeneca plc,0.010550113036925397,0.010550113036925397
153,AV.,1190.0,0.28,0.27,98.9,4067.0,4.38,0,0,0,100.0,0,0,4.14,3.02,0.27,6.92,0,4.63,0,100.0,0.57,0,Aviva plc,0.002730030333670374,0.002730030333670374
154,XLON:BAB,336.0,0.67,0.28,42.8,506.0,5.72,1.05,0.86,0,100.0,14.76,7.95,8.39,7.22,5.4,12.09,8.47,8.76,0,100.0,0.51,13.93,Babcock International Group,0.006542056074766356,0.006542056074766356
155,BA.,756.0,0.23,0.21,92.4,3201.0,1.82,0.96,0.83,0,100.0,0,6.86,5.53,4.3,3.35,16.31,12.56,4.09,0,100.0,0.59,-4.37,BAE Systems plc,0.0022727272727272726,0.0022727272727272726
156,BARC,-243.0,-0.01,0.03,0,17300.0,3.57,0,0,0,100.0,0,0,100.0,-0.28,-0.01,-0.11,0,0,-193.34,100.0,1.61,0,Barclays plc,0,0
157,BDEV,-6.0,-0.38,0,0,16.0,-0.46,0.2,0.2,0,100.0,100.0,-48.15,-73.88,-82.65,-202.29,0,0,-118.71,0,100.0,0,0,Barratt Developments plc,0,0
158,BKG,609.0,1.03,0,0,590.0,1.63,1.19,0.59,0,100.0,6.75,4.35,4.58,3.21,2.4,8.61,7.24,0,0,100.0,0.01,-4.14,Berkeley Group Holdings plc,0,0
159,BLT,-50.0,-1.02,0,0,49.0,2.29,2.63,1.02,0,100.0,27.21,6.32,-7.1,-6.02,-6.71,-37.21,-7.24,-2.95,780.0,100.0,3.29,0,BHP Billiton plc,0,0
160,BP.,7064.0,0.35,0.4,112.1,19974.0,3.81,1.1,0.69,0,100.0,8.7,4.7,4.8,2.6,2.62,7.18,4.84,8.51,0,100.0,0.5,-21.79,BP Plc,0.0035682426404995546,0.0035682426404995546
161,BATS,98.0,1.03,0.08,7.8,96.0,4.43,0,0,0,100.0,0,0,10.52,5.47,7.92,24.86,0,0,0,100.0,1.37,32.88,British American Tobacco plc,0.010256410256410256,0.010256410256410256
162,BLND,493.0,0.48,0.3,61.6,1016.0,9.48,1.25,0.38,0,100.0,68.7,55.87,78.4,77.15,3.7,5.34,4.69,6.39,-66.54,100.0,0.34,11.66,British Land Co plc,0.00487012987012987,0.00487012987012987
163,BT.A,2032.0,0.2,0.15,75.4,9961.0,1.04,0.82,0.63,0,100.0,0,16.73,11.03,8.57,4.77,21.8,11.43,4.6,89.47,100.0,1.16,-0.57,BT Group plc,0.0019893899204244028,0.0019893899204244028
164,BNZL,328.0,0.98,0.46,46.6,332.0,4.37,1.33,0.82,0,100.0,0,5.23,4.82,3.73,6.42,23.88,11.29,8.46,0,100.0,1.0,9.72,Bunzl plc,0.009871244635193134,0.009871244635193134
165,BRBY,294.0,0.68,0.39,57.6,429.0,3.45,2.79,1.96,0,100.0,69.43,17.07,15.1,10.74,12.66,18.86,18.25,318.38,0,100.0,0,2.91,Burberry Group plc,0.0067708333333333336,0.0067708333333333336
166,CCL,2827.0,3.92,1.8,45.9,721.0,32.48,0.24,0.15,0,100.0,39.98,16.38,15.71,15.4,6.84,12.06,9.09,15.79,50.0,100.0,0.34,14.96,Carnival plc,0.0392156862745098,0.0392156862745098
167,CNA,928.0,3.4,1.2,35.2,272.0,42.06,0,0,0,100.0,0,0,12.79,9.32,1.63,7.92,0,9.6,-1.0,100.0,0.23,7.44,Centrica plc,0.03409090909090909,0.03409090909090909
168,CCH,451.0,1.23,0.54,43.9,367.0,7.29,1.14,0.9,0,100.0,37.5,10.04,9.19,6.9,6.49,15.54,9.87,0,800.0,100.0,0.48,17.48,Coca-Cola HBC AG,0.012300683371298407,0.012300683371298407
169,CPG,-583.0,-1.07,0.36,0,547.0,12.51,0.41,0.35,0,100.0,73.5,6.35,-19.77,-18.44,-3.58,-6.28,-3.12,-2.62,-300.0,100.0,0.47,0,Compass Group plc,0,0
170,CTEC,10.0,0.63,0,0,16.0,6.24,10.79,8.81,0,100.0,66.38,17.01,20.5,13.96,10.57,11.31,11.31,0,20.0,100.0,0,0,ConvaTec Group Plc,0,0
171,CRH,2886.0,3.55,0.67,31.1,843.0,21.74,1.35,0.92,0,100.0,32.65,8.22,7.46,11.4,8.57,19.98,13.4,7.05,3.15,100.0,0.55,26.5,CRH plc,0.021543408360128618,0.021543408360128618
172,CRDA,244.0,1.84,0.81,43.9,132.0,6.83,2.03,1.05,0,100.0,37.96,23.83,23.16,17.83,14.58,30.67,20.2,31.47,0,100.0,0.49,7.92,Croda International plc,0.01845102505694761,0.01845102505694761
173,XLON:DCC,262.0,2.93,1.16,44.7,89.0,18.39,1.34,1.04,0,100.0,9.86,2.32,1.82,1.84,4.57,16.78,9.18,4.81,0,100.0,0.97,18.97,DCC plc,0.02595078299776286,0.02595078299776286
174,XLON:DGE,3022.0,1.21,0.63,52.3,2495.0,4.05,1.37,0.54,0,100.0,61.9,30.35,30.75,24.85,10.32,29.83,16.31,10.47,-90.42,100.0,0.82,3.99,Diageo plc,0.012045889101338433,0.012045889101338433
175,FERG,1214.0,5.07,1.51,29.8,239.0,15.03,1.52,0.83,0,100.0,29.07,6.71,7.71,5.88,10.42,28.84,16.96,24.76,0,100.0,0.34,62.96,Ferguson plc,0.05067114093959731,0.05067114093959731
176,FRES,-1.0,-0.39,0,0,8.0,0,0.85,0.73,0,100.0,10.93,-4.84,-9.93,-1.13,-5.73,-18.82,-12.58,0,-27.78,100.0,0.04,0,Fresnillo,0,0
177,GFS,188.0,0.12,0.1,78.8,1548.0,0.54,1.06,1.0,0,100.0,17.65,5.45,4.06,2.5,3.37,23.49,7.42,3.45,0,100.0,1.84,37.51,G4S Plc,0.001269035532994924,0.001269035532994924
178,GKN,503.0,0.29,0.03,10.7,1728.0,1.65,1.39,0.78,0,100.0,54.87,5.43,6.8,5.2,5.64,21.55,17.62,6.22,0,100.0,0.44,0.94,GKN plc,0.0028037383177570096,0.0028037383177570096
179,GSK,1656.0,0.67,1.62,242.3,2478.0,1.94,0.94,0.59,0,100.0,66.98,21.26,12.91,5.52,2.86,73.76,8.38,6.61,-340.54,100.0,6.68,-19.62,GlaxoSmithKline plc,0.0066859265373503925,0.0066859265373503925
180,GLEN,6103.0,0.42,0.14,32.4,14436.0,2.54,1.08,0.39,0,100.0,4.23,3.5,3.64,2.86,4.81,13.14,9.11,5.79,0,100.0,0.51,41.9,Glencore plc,0.004320987654320988,0.004320987654320988
181,HMSO,157.0,0.2,0.26,129.3,794.0,7.62,0.72,0.58,0,100.0,0,101.2,74.23,64.93,1.57,2.63,2.67,2.57,0,100.0,0.57,22.92,Hammerson,0.002010827532869296,0.002010827532869296
182,HL.,236.0,0.49,0.3,61.5,475.0,0.85,1.96,1.93,0,100.0,99.98,64.52,65.33,52.79,30.83,66.48,66.14,0,0,100.0,0,9.75,Hargreaves Lansdown plc,0.004878048780487805,0.004878048780487805
183,HSBA,11036.0,0.49,0.51,103.3,20111.0,7.06,0,0,0,100.0,0,0,100.0,15.31,0.39,5.3,0,0,10.53,100.0,0.76,-5.1,HSBC Holdings plc,0.0049370764762826725,0.0049370764762826725
184,IMB,702.0,21.05,2.5,11.9,33.0,1.75,3.21,2.71,0,100.0,36.24,1.19,7.12,5.8,5.99,9.67,8.59,121.89,0,100.0,0.01,33.83,Imperial Brands Group,0.21008403361344538,0.21008403361344538
185,XLON:INF,284.0,0.34,0.2,60.2,842.0,4.66,0.42,0.37,0,100.0,0,22.25,13.37,15.79,3.53,7.13,5.43,4.92,0,100.0,0.41,27.97,Informa plc,0.0033222591362126247,0.0033222591362126247
186,IHG,578.0,3.02,1.03,34.2,191.0,-6.13,0.78,0.76,0,100.0,60.73,42.99,32.28,29.9,18.43,0,0,7.71,-30.41,100.0,0,1.71,InterContinental Hotels Group plc,0.030116959064327483,0.030116959064327483
187,IAG,29.0,0.05,0,0,471.0,6.03,4.72,3.68,0,100.0,16.27,8.16,8.0,2.54,0.74,1.05,0.67,52.22,-105.56,100.0,0.14,8.43,International Consolidated Airlines Group SA,0,0
188,ITRK,-0.0,0,0,0,67.0,0,0.27,0.22,0,100.0,100.0,-62.73,-80.44,-80.44,-193.44,0,0,-3.54,0,100.0,0,0,Intertek Group plc,0,0
189,ITV,-6.0,-0.1,0,0,52.0,0.08,1.33,0.53,0,100.0,61.34,-16.79,-16.6,-17.39,-33.8,-90.06,-63.05,-6.85,0,100.0,0.19,0,ITV plc,0,0
190,JMAT,298.0,1.55,0.76,49.1,192.0,12.29,1.88,1.2,0,100.0,6.43,3.58,2.27,2.11,6.28,12.92,9.9,9.0,0,100.0,0.4,1.51,Johnson Matthey Plc,0.015478615071283095,0.015478615071283095
191,KGF,398.0,0.18,0.11,58.8,2164.0,3.22,1.19,0.24,0,100.0,36.71,5.26,4.78,3.39,3.78,5.82,5.76,32.17,0,100.0,0.01,-2.97,Kingfisher,0.001870748299319728,0.001870748299319728
192,LAND,-2.0,-0.17,0.53,0,14.0,8.05,0.24,0.24,0,100.0,95.98,35.19,-7.74,-7.21,-0.55,-2.2,2.29,0.76,-650.0,100.0,2.27,0,Land Securities Group plc,0,0
193,LGEN,1716.0,0.29,0.15,56.2,5960.0,1.29,0,0,0,100.0,0,0,6.86,6.69,0.35,23.01,0,8.92,0,100.0,0.51,18.39,Legal & General Group plc,0.002669039145907473,0.002669039145907473
194,LLOY,4089.0,0.05,0.03,58.7,72676.0,0.68,0,0,0,100.0,0,0,100.0,12.1,0.46,7.86,0,0,-12.5,100.0,2.16,0,Lloyds Banking Group plc,0.0005110732538330493,0.0005110732538330493
195,LSE,5.0,-0.09,0.31,0,81.0,4.39,1.23,1.23,0,100.0,84.23,41.92,0,-4.43,-0.44,-2.27,3.74,1.3,0,100.0,3.17,0,London Stock Exchange Group plc,0,0
196,XLON:MKS,25.0,0.02,0.18,0,1629.0,1.82,0.72,0.2,0,100.0,37.83,6.27,0.62,0.24,0.32,0.84,1.28,1.7,0,100.0,0.56,-44.0,Marks & Spencer Group plc,0,0
197,MDC,188.0,3.28,1.06,32.4,57.0,26.4,7.55,1.35,0,100.0,20.1,7.62,9.86,6.88,6.96,13.14,7.37,0,89.0,100.0,0.67,17.73,Mediclinic International plc,0.03271604938271605,0.03271604938271605
198,MERL,205.0,0.2,0.07,36.8,1021.0,1.52,0.68,0.56,0,100.0,83.25,24.29,16.32,12.67,5.64,13.81,8.44,6.18,0,100.0,0.87,22.42,Merlin Entertainments plc,0.0019021739130434786,0.0019021739130434786
199,XLON:MCRO,726.0,1.92,1.0,52.4,379.0,14.47,0.88,0.84,0,100.0,78.16,18.04,2.41,22.63,6.64,14.87,-5.92,1.47,0,100.0,0.6,42.6,Micro Focus International plc,0.019083969465648856,0.019083969465648856
200,MNDI,673.0,1.39,0.61,44.0,485.0,7.72,1.39,0.81,0,100.0,44.84,15.81,12.65,9.29,8.94,20.07,13.44,14.67,0,100.0,0.69,22.42,Mondi Plc,0.013863636363636363,0.013863636363636363
201,PPB,219.0,2.57,1.35,52.6,85.0,57.24,1.0,0.64,0,100.0,76.12,22.96,14.02,12.29,4.44,5.16,4.62,132.74,0,100.0,0.04,17.06,Paddy Power Betfair plc,0.025665399239543727,0.025665399239543727
202,PSON,-1.0,-0.01,0,0,90.0,-0.01,0.05,0.04,0,0,0,0,0,0,-195.81,0,0,-51.34,-78.31,100.0,0,0,Pearson plc,0,0
203,PSN,837.0,2.57,2.35,91.1,325.0,8.98,2.72,0.83,0,100.0,32.23,28.96,29.25,23.89,18.1,30.18,29.89,75.28,0,100.0,0,35.83,Persimmon plc,0.025795828759604834,0.025795828759604834
204,PRU,7563.0,17.27,3.3,19.1,431.0,115.66,0,0,0,100.0,0,0,9.97,12.25,0.92,15.46,0,0,-58.93,100.0,0.37,75.75,Prudential plc,0.17277486910994763,0.17277486910994763
205,RRS,-25.0,-0.7,0,0,7596.0,0,3.32,1.49,0,100.0,-90.93,-141.67,-188.9,-249.54,-15.0,-114.36,-36.31,-1.68,0,100.0,4.24,0,Randgold Resources,0,0
206,RB.,6529.0,9.18,1.64,33.7,711.0,19.46,0.68,0.48,0,100.0,59.82,25.15,20.5,51.55,17.46,59.4,26.06,8.33,25.98,100.0,0.75,27.54,Reckitt Benckiser Group Plc,0.04866468842729969,0.04866468842729969
207,REL,-6.0,0,0,0,4531.0,0,2.72,1.22,0,0,0,0,0,0,-114.14,-140.17,-132.72,-559.3,0,100.0,0,0,RELX plc,0,0
208,RTO,7.0,0.33,0,0,21.0,12.99,4.1,2.44,0,100.0,53.83,1.07,1.76,1.21,2.07,2.61,1.59,79.85,0,100.0,0,-33.15,Rentokil Initial Plc,0,0
209,RIO,9837.0,5.78,2.91,50.3,1315.0,24.44,1.66,1.03,0,100.0,0,30.92,35.92,24.21,10.9,23.25,17.63,45.35,0,100.0,0.31,0,Rio Tinto plc,0.05785288270377734,0.05785288270377734
210,RR.,2073.0,1.13,0.12,10.3,1846.0,0.4,1.19,0.81,0,100.0,15.02,2.82,12.78,12.1,7.44,103.86,35.2,28.73,0,100.0,4.85,13.02,Rolls Royce Holdings Plc,0.011650485436893203,0.011650485436893203
211,SGE,1.0,0.14,0,0,4.0,0,316.76,316.06,0,100.0,0,69.46,77.55,57.93,5.3,5.55,5.55,0,100.0,100.0,0,-7.62,Sage Group plc,0,0
212,SBRY,309.0,0.13,0.1,76.4,2430.0,3.36,0.76,0.58,0,100.0,6.61,1.82,1.44,1.02,1.39,4.07,3.99,4.03,0,100.0,0.22,-12.83,Sainsbury (J) plc,0.0013089005235602095,0.0013089005235602095
213,SDR,11.0,0.21,0.21,100.0,50.0,0.9,0,0,0,100.0,81.34,73.52,71.92,71.92,22.79,22.79,22.79,0,-20.29,100.0,0,0,Schroders plc,0.0021,0.0021
214,SMT,15.0,0.09,0,0,163.0,1.06,1.04,0.73,0,100.0,34.43,21.71,19.11,6.69,4.29,9.06,7.44,16.06,-450.0,100.0,0.19,0,Scottish Mortgage Investment Trust,0,0
215,SGRO,185590.0,101.0,25.0,24.8,1819.0,2151.43,1.02,0.61,0,100.0,24.27,15.67,10.48,5.7,2.28,4.94,4.6,2.81,-90.8,100.0,0.59,-2.66,Segro Plc,1.0080645161290323,1.0080645161290323
216,SVT,2.0,0.96,0.16,16.7,2.0,11.12,4.32,2.08,0,100.0,26.89,7.28,7.1,4.92,5.99,8.01,7.35,36.29,500.0,100.0,0.1,32.71,Severn Trent Plc,0.009580838323353293,0.009580838323353293
217,XLON:SHP,4822.0,5.28,0.35,6.6,913.0,35.86,1.55,0.52,0,100.0,70.98,25.63,16.72,31.06,7.23,14.18,8.64,5.74,157.69,100.0,0.45,41.79,Shire plc,0.05303030303030303,0.05303030303030303
218,SKY,8.0,0.95,0,0,9.0,6.72,1.41,0.73,0,100.0,13.43,2.74,3.46,3.46,14.35,29.83,30.89,29.29,-107.39,100.0,0.16,0,Sky plc,0,0
219,SN.,717.0,0.81,0.35,43.1,876.0,4.06,2.13,1.05,0,100.0,73.34,18.32,17.19,14.73,9.46,16.21,12.71,14.29,-1.11,100.0,0.31,1.02,Smith & Nephew plc,0.008120649651972157,0.008120649651972157
220,XLON:SMIN,371.0,0.9,0.43,46.7,401.0,4.92,2.47,1.75,0,100.0,46.36,14.88,14.13,11.55,8.0,19.69,12.02,7.58,0,100.0,0.78,17.31,Smiths Group Plc,0.009207708779443255,0.009207708779443255
221,SKG,536.0,2.26,0.88,38.8,237.0,9.3,1.75,1.34,0,100.0,31.7,11.05,8.53,6.12,5.82,22.22,11.01,4.91,-13.76,100.0,1.51,10.86,Smurfit Kappa Group Plc,0.022680412371134023,0.022680412371134023
222,SSE,-0.0,-0.07,0,0,3.0,4.08,0,0,0,100.0,0,0,-1.87,-3.69,-0.16,-1.75,0,0,50.0,100.0,0.1,0,SSE plc,0,0
223,STJ,658.0,2.28,1.22,53.5,288.0,15.7,1.93,1.16,0,100.0,66.77,16.64,12.02,11.05,5.56,15.51,8.31,5.5,-2.67,100.0,1.2,-0.61,St James's Place Plc,0.02280373831775701,0.02280373831775701
224,STAN,1583.0,0.34,0.11,32.1,3330.0,11.84,0,0,0,100.0,0,0,100.0,7.65,0.17,2.24,0,0,0,100.0,1.31,-24.25,Standard Chartered plc,0.003426791277258567,0.003426791277258567
225,XLON:SLA,592.0,0.21,0.21,73.5,2855.0,2.8,0,0,0,100.0,0,0,4.91,3.5,0.31,9.37,0,9.23,0,100.0,22.17,0.03,Standard Life Aberdeen Plc,0.002857142857142857,0.002857142857142857
226,TW.,634.0,0.19,0.05,24.6,3280.0,0.9,3.14,0.48,0,100.0,26.14,20.31,19.66,16.02,12.44,22.14,21.56,83.77,0,100.0,0.04,19.14,Taylor Wimpey plc,0.002032520325203252,0.002032520325203252
227,TSCO,480.0,3.85,1.12,29.0,125.0,11.54,1.92,0.08,0,100.0,34.37,9.25,9.02,6.35,16.33,34.45,24.92,0,35.2,100.0,0.39,8.86,Tesco plc,0.038620689655172416,0.038620689655172416
228,XLON:888,12.0,0.03,0.09,267.6,368.0,0.24,0.79,0.77,0,100.0,0,13.46,3.47,2.33,3.24,9.1,8.81,0,0,100.0,0,-18.67,888 Holdings,0,0.0003363228699551569
229,XLON:AA.,111.0,0.18,0.09,51.1,610.0,-2.87,0.65,0.54,0,100.0,62.5,32.08,14.69,11.56,5.96,0,0,1.99,-105.54,100.0,0,-11.75,AA plc,0,0.001761252446183953
230,ASL,49.0,0.38,0,0,129.0,0,1.15,0.71,0,100.0,34.34,10.0,12.89,10.77,5.47,10.33,6.78,0,-85.71,100.0,0.43,0,Aberforth Smaller Companies Trust,0,0
231,XLON:ACA,-739.0,-1.8,0,0,410.0,2.15,1.31,0.33,0,100.0,37.15,25.66,-108.56,-106.61,-33.93,-48.57,-46.34,-312.17,-154.02,100.0,0.02,0,Acacia Mining plc,0,0
232,XLON:AGK,109.0,0.42,0.27,64.0,256.0,5.07,1.87,1.31,0,100.0,52.05,10.62,8.85,6.03,4.28,8.35,6.35,5.44,0,100.0,0.49,-17.42,Aggreko plc,0,0.00421875
233,XLON:AMFW,-30.0,-0.08,0.07,0,383.0,2.52,1.1,0.78,0,100.0,11.8,2.49,-0.39,-0.61,-0.57,-2.93,0.92,0.76,0,100.0,1.14,0,Amec Foster Wheeler plc,0,0
234,XLON:AGR,71.0,0.03,0.03,67.8,1964.0,0.52,1.3,0.98,0,100.0,96.05,86.23,85.99,85.99,4.54,6.94,6.03,4.39,0,100.0,0.39,38.48,Assura plc,0,0.0004424778761061947
235,XLON:AVV,48.0,0.47,0.27,57.8,102.0,11.94,1.23,1.19,0,100.0,69.78,9.83,9.39,9.55,3.54,4.44,4.69,13.71,0,100.0,0,0.92,AVEVA Group plc,0,0.0046712802768166094
